marca,modelo,ano,preco_brl,categoria,conector,url
byd,song plus dm-i plug-in hybrid,2027,242900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-plus-dm-i-plug-in-hybrid-plus-1.5-turbo-26kwh-2027-24904
renault,kwid e-tech electric,2024,75990.0,BEV,CCS2,https://carregados.com.br/carros/renault-kwid-e-tech-electric-2024-24903
byd,song pro dm-i plug-in hybrid,2025,164000.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-pro-dm-i-plug-in-hybrid-gs-2025-24698
byd,seal,2025,245000.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-awd-2025-24622
chery,icar,2023,10900.0,BEV,CCS2,https://carregados.com.br/carros/chery-icar-eq1-tec-2023-22379
tesla,model y,2021,229000.0,BEV,CCS2,https://carregados.com.br/carros/tesla-model-y-perfomance--2021-22353
gwm,ora 03,2024,124900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2024-22206
volvo,xc40 recharge,2023,215000.0,BEV,CCS2,https://carregados.com.br/carros/volvo-xc40-recharge-p6-2023-21045
ford,mustang mach-e,2023,289000.0,BEV,CCS2,https://carregados.com.br/carros/ford-mustang-mach-e-gt-2023-20349
bmw,ix,2023,329000.0,BEV,CCS2,https://carregados.com.br/carros/bmw-ix-m40-2023-19718
omoda,e5,2025,182000.0,BEV,CCS2,https://carregados.com.br/carros/omoda-e5-2025-18395
byd,seal,2024,225000.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2024-17630
chevrolet,bolt euv,2023,145000.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-bolt-euv-2023-17025
tesla,model 3,2019,297000.0,BEV,CCS2,https://carregados.com.br/carros/tesla-model%25203-mid-2019-9813
byd,dolphin mini,2027,125600.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27433
peugeot,e-208,2026,119900.0,BEV,CCS2,https://carregados.com.br/carros/peugeot-e-208-gt-2026-preto-2700km-27434
mini,cooper elétrico,2022,150000.0,BEV,CCS2,https://carregados.com.br/carros/mini-cooper-eletrico-cooper-se-2022-preto-50000km-27435
audi,e-tron,2022,298000.0,BEV,CCS2,https://carregados.com.br/carros/audi-e-tron-2022-preto-31918km-27436
mg motor,mg4,2027,164990.0,BEV,CCS2,https://carregados.com.br/carros/mg-motor-mg4-luxury-rwd-64kwh-2027-verde-0km-27437
gac,aion ut,2027,144990.0,BEV,CCS2,https://carregados.com.br/carros/gac-aion-ut-premium-2027-prata-0km-27438
jac,e-js1,2023,79900.0,BEV,GB/T,https://carregados.com.br/carros/jac-e-js1-e-js1-2023-azul-78000km-27439
jac,e-js1,2023,74900.0,BEV,GB/T,https://carregados.com.br/carros/jac-e-js1-e-js1-2023-branco-110000km-27440
byd,seal,2025,229900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-cinza-9000km-27398
byd,dolphin,2027,132900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-100km-27399
byd,seal,2025,219990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-preto-46000km-27400
chrysler,pacifica plug-in hybrid,2018,359800.0,PHEV,Type 2,https://carregados.com.br/carros/chrysler-pacifica-plug-in-hybrid-2018-preto-37000km-27401
gac,aion ut,2027,141800.0,BEV,CCS2,https://carregados.com.br/carros/gac-aion-ut-premium-2027-preto-500km-27402
byd,king dm-i,2026,158990.0,PHEV,CCS2,https://carregados.com.br/carros/byd-king-dm-i-gs-2026-preto-19615km-27403
byd,seal,2025,219990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-cinza-22000km-27404
gwm,ora 03,2024,143900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-gt-2024-cinza-26000km-27405
byd,dolphin,2027,145900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-preto-0km-27406
ford,mustang mach-e,2023,289900.0,BEV,CCS2,https://carregados.com.br/carros/ford-mustang-mach-e-gt-performance-2023-cinza-28000km-27407
byd,dolphin,2025,126990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-branco-15000km-27408
bmw,ix2,2025,355900.0,BEV,CCS2,https://carregados.com.br/carros/bmw-ix2-xdrive30-m-sport-2025-cinza-11580km-27409
byd,yuan pro,2025,159900.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2025-cinza-58394km-27410
porsche,taycan,2022,469500.0,BEV,CCS2,https://carregados.com.br/carros/porsche-taycan-4s-2022-azul-13500km-27411
byd,dolphin mini,2027,129900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-azul-0km-27412
byd,song pro dm-i flex,2026,179900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-pro-dm-i-flex-gs-2026-outra-5129km-27413
chevrolet,captiva ev,2026,219790.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-captiva-ev-premier-2026-cinza-0km-27414
byd,dolphin mini,2025,105900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-preto-30178km-27415
byd,seal,2025,229900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-azul-15801km-27416
byd,dolphin mini,2027,113900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-155km-27417
byd,dolphin,2025,109800.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-preto-58008km-27418
byd,dolphin,2025,112800.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-branco-29568km-27420
byd,dolphin,2025,110800.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-preto-45000km-27419
gwm,haval h6 phev flex,2025,182900.0,PHEV,CCS2,https://carregados.com.br/carros/gwm-haval-h6-phev-flex-phev19-flex-2025-preto-39181km-27421
byd,dolphin mini,2026,114100.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-verde-16308km-27422
geely,ex2,2026,142890.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-cinza-0km-27423
toyota,rav4 prime,2026,349290.0,PHEV,Type 2,https://carregados.com.br/carros/toyota-rav4-prime-xse-2026-cinza-0km-27424
gwm,ora 03,2026,149900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-gt-2026-branco-20586km-27425
byd,yuan pro,2026,167900.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2026-preto-11900km-27426
byd,dolphin,2027,149900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-0km-27427
byd,dolphin,2024,124900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-outra-19776km-27428
byd,song plus dm-i,2024,172900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-plus-dm-i-premium-2024-vermelho-26726km-27429
byd,yuan pro,2025,157900.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2025-cinza-14985km-27430
gwm,tank 300 phev flex,2026,292900.0,PHEV,Type 2,https://carregados.com.br/carros/gwm-tank-300-phev-flex-hi4-t-2026-branco-26323km-27431
audi,q4 e-tron,2022,249900.0,BEV,CCS2,https://carregados.com.br/carros/audi-q4-e-tron-premium-2022-cinza-44000km-27432
byd,dolphin mini,2027,125990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27324
mg motor,mg4,2027,154990.0,BEV,CCS2,https://carregados.com.br/carros/mg-motor-mg4-luxury-rwd-64kwh-2027-branco-1km-27325
peugeot,e-2008,2023,114900.0,BEV,CCS2,https://carregados.com.br/carros/peugeot-e-2008-gt-2023-branco-35120km-27326
byd,dolphin mini,2027,128999.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27327
geely,ex2,2026,149890.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-verde-0km-27328
gwm,haval h6 phev flex,2027,249900.0,PHEV,CCS2,https://carregados.com.br/carros/gwm-haval-h6-phev-flex-phev19-flex-2027-cinza-10km-27329
volvo,xc40 recharge,2023,189990.0,BEV,CCS2,https://carregados.com.br/carros/volvo-xc40-recharge-ultimate-2023-preto-62611km-27332
byd,seal,2027,279900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2027-cinza-1000km-27333
porsche,taycan,2023,550000.0,BEV,CCS2,https://carregados.com.br/carros/porsche-taycan-4s-2023-cinza-9320km-27334
byd,seal,2024,211900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2024-cinza-38814km-27335
byd,dolphin mini,2025,108900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-preto-42144km-27336
byd,dolphin,2025,147900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-cinza-36123km-27337
byd,dolphin,2025,157500.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-cinza-18954km-27338
byd,dolphin mini,2027,129990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27340
byd,dolphin,2027,129990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-azul-0km-27341
byd,dolphin mini,2025,113900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-preto-30471km-27342
byd,dolphin,2024,117780.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-branco-81998km-27343
byd,dolphin,2024,130900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-preto-27000km-27344
byd,dolphin,2026,138900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2026-prata-47566km-27345
gac,hyptec ht,2026,314990.0,BEV,CCS2,https://carregados.com.br/carros/gac-hyptec-ht-ultra-2026-preto-7000km-27346
chery,eq1,2023,79000.0,BEV,CCS2,https://carregados.com.br/carros/chery-eq1-2023-cinza-33000km-27348
gwm,ora 03,2024,146990.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-gt-2024-cinza-24332km-27350
byd,dolphin,2027,149990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-1400km-27352
ford,mustang mach-e,2023,299990.0,BEV,CCS2,https://carregados.com.br/carros/ford-mustang-mach-e-gt-performance-2023-vermelho-25000km-27353
byd,dolphin,2027,149990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-branco-1160km-27355
byd,dolphin mini,2025,108900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-amarelo-9000km-27356
chevrolet,captiva ev,2026,217900.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-captiva-ev-premier-2026-cinza-0km-27357
gwm,ora 03,2024,120241.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2024-preto-20000km-27358
byd,song plus dm-i,2025,185900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-plus-dm-i-premium-2025-cinza-17038km-27359
byd,dolphin mini,2027,122900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27360
byd,dolphin,2027,160990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-0km-27361
byd,dolphin,2026,137900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2026-cinza-13800km-27363
byd,dolphin,2027,129990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-branco-0km-27364
byd,dolphin mini,2027,129900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27365
geely,ex2,2026,133900.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-pro-2026-branco-0km-27367
byd,dolphin mini,2027,119900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27368
byd,seal,2025,213000.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-cinza-36000km-27369
byd,dolphin,2026,125900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2026-preto-0km-27370
byd,song pro dm-i flex,2027,189900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-pro-dm-i-flex-gl-2027-cinza-1km-27372
byd,dolphin mini,2027,119900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-20822km-27373
chevrolet,spark euv,2026,152900.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-spark-euv-activ-2026-preto-0km-27374
