id_origem,nome,operador,rede,uf,cidade,endereco,latitude,longitude,capacidade,potencia_kw,ccs2,type2,chademo,gbt,tipo2_tomada,acesso,pago,horario,confiabilidade,situacao,verificado,url,fonte
carregados/409036,AGS ReCharge Santo Amaro,Tupinambá,Tupinambá,SP,,,-23.654052,-46.701832,4,60,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-ags-recharger-409036,carregados.com.br
carregados/9685,Germanh - Recarga Rápida,EvoltBR,EvoltBR,RS,,,-30.339099,-54.073774,4,60,0,0,0,0,0,,,,86.84,operational,1,https://carregados.com.br/estacoes/estacao-germanh-recarga-rapida-24h-9685,carregados.com.br
carregados/2074425,POUSADA CENTRAL,,,MG,,,-16.170104,-42.293013,1,22,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-pousada-central-2074425,carregados.com.br
carregados/2072544,Churrascaria São Francisco | BR 101 Alagoinhas-BA,Tupinambá,Tupinambá,BA,,,-12.150789,-38.399039,1,38,0,0,0,0,0,,,,86.49,operational,1,https://carregados.com.br/estacoes/estacao-churrascaria-so-francisco-br-101-alagoinhas-ba-2072544,carregados.com.br
carregados/2073414,Tupã eletropostos,Rede 6232,Rede 6232,MG,,,-20.062372,-43.981099,3,81,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-lavaggio-tech-2073414,carregados.com.br
carregados/2073079,Gow Ev - Restaurante Pescador,,,SP,,,-22.365258,-46.970505,3,60,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-gow-ev-restaurante-pescador-2073079,carregados.com.br
carregados/2074286,DVT CAR Eletroposto,Spott,Spott,PR,,,-23.314397,-51.168643,2,40,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-aviluxsolar-dvt-2074286,carregados.com.br
carregados/2072294,Connect,,,AM,,,-3.057895,-59.996599,3,80,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-connect-2072294,carregados.com.br
carregados/2074414,OcaBox EV Charge By Power Charge,On-Charge,On-Charge,MG,,,-19.917991,-44.02713,2,75,0,0,0,0,0,,,,100,operational,1,https://carregados.com.br/estacoes/estacao-ocabox-ev-charge-by-power-charge-2074414,carregados.com.br
carregados/2011742,Gow Ev,,,SP,,,-23.967648,-46.188458,3,60,0,0,0,0,0,,,,91.3,operational,1,https://carregados.com.br/estacoes/estacao-gow-ev-2011742,carregados.com.br
carregados/2073909,Zpower & Movix-E,On-Charge,On-Charge,PR,,,-24.72061,-53.710164,3,120,0,0,0,0,0,,,,93.33,operational,1,https://carregados.com.br/estacoes/estacao-zpower-movix-e-2073909,carregados.com.br
carregados/2011743,Gow Ev,,,SP,,,-23.855267,-46.141094,3,60,0,0,0,0,0,,,,84.21,operational,1,https://carregados.com.br/estacoes/estacao-gow-ev-2011743,carregados.com.br
carregados/845,FEPASA,GOEC,GOEC,MG,,,-21.7864,-46.572193,3,55,0,0,0,0,0,,,,97.83,operational,0,https://carregados.com.br/estacoes/estacao-esta%C3%A7%C3%A3o-mogyana-%7C-fepasa-845,carregados.com.br
carregados/1264,WEG | O Fazendeiro,GreenV,GreenV,SP,,,-24.257953,-47.377278,6,150,0,0,0,0,0,,,,87.18,operational,0,https://carregados.com.br/estacoes/estacao-o-fazendeiro-1264,carregados.com.br
carregados/2339,Casa Rural Pastelaria - Barra Do Ribeiro,WEMOB,WEMOB,RS,,,-30.407849,-51.454022,3,240,0,0,0,0,0,,,,83.83,operational,0,https://carregados.com.br/estacoes/estacao-rota-mercosul-04-p%26d-aneel-ufsm-equatorial-2339,carregados.com.br
carregados/2344,Paradouro Grill,WEMOB,WEMOB,RS,,,-31.01634,-52.053608,3,300,0,0,0,0,0,,,,67.01,operational,0,https://carregados.com.br/estacoes/estacao-posto-grill---rota-mercosul-p%26d-aneel-05-ufsm---equatorial-2344,carregados.com.br
carregados/1595,Ongaratto,EZVolt,EZVolt,SP,,,-24.779654,-48.186172,3,150,0,0,0,0,0,,,,81.17,operational,0,https://carregados.com.br/estacoes/estacao-ongaratto-500-1595,carregados.com.br
carregados/732,Restaurante Venda Do Chico,,,MG,,,-21.605669,-45.240152,7,180,0,0,0,0,0,,,,96.04,operational,0,https://carregados.com.br/estacoes/estacao-restaurante-venda-do-chico-732,carregados.com.br
carregados/2350,Paradouro Barragem,,,RS,,,-31.720535,-52.379396,3,100,0,0,0,0,0,,,,83.48,operational,0,https://carregados.com.br/estacoes/estacao-paradouro-barragem-2350,carregados.com.br
carregados/4564,Go Electric Solar Louveira,GOEC,GOEC,SP,,,-23.09033,-46.947117,6,60,0,0,0,0,0,,,,98.77,operational,0,https://carregados.com.br/estacoes/estacao-luminares-energia-solar-fotovoltaica-4564,carregados.com.br
carregados/773,Amigão De Itaboraí,Shell Recharge,Shell Recharge,RJ,,,-22.747046,-42.812047,2,150,0,0,0,0,0,,,,82.88,operational,0,https://carregados.com.br/estacoes/estacao-shell-773,carregados.com.br
