uf,nome,regiao,capital_lat,capital_lon
AC,Acre,Norte,-9.97,-67.81
AL,Alagoas,Nordeste,-9.65,-35.73
AM,Amazonas,Norte,-3.1,-60.02
AP,Amapá,Norte,0.03,-51.06
BA,Bahia,Nordeste,-12.97,-38.5
CE,Ceará,Nordeste,-3.73,-38.52
DF,Distrito Federal,Centro-Oeste,-15.79,-47.88
ES,Espírito Santo,Sudeste,-20.31,-40.31
GO,Goiás,Centro-Oeste,-16.68,-49.25
MA,Maranhão,Nordeste,-2.53,-44.3
MG,Minas Gerais,Sudeste,-19.92,-43.94
MS,Mato Grosso do Sul,Centro-Oeste,-20.44,-54.65
MT,Mato Grosso,Centro-Oeste,-15.6,-56.1
PA,Pará,Norte,-1.45,-48.5
PB,Paraíba,Nordeste,-7.12,-34.86
PE,Pernambuco,Nordeste,-8.05,-34.88
PI,Piauí,Nordeste,-5.09,-42.8
PR,Paraná,Sul,-25.43,-49.27
RJ,Rio de Janeiro,Sudeste,-22.91,-43.17
RN,Rio Grande do Norte,Nordeste,-5.79,-35.21
RO,Rondônia,Norte,-8.76,-63.9
RR,Roraima,Norte,2.82,-60.67
RS,Rio Grande do Sul,Sul,-30.03,-51.23
SC,Santa Catarina,Sul,-27.59,-48.55
SE,Sergipe,Nordeste,-10.91,-37.07
SP,São Paulo,Sudeste,-23.55,-46.63
TO,Tocantins,Norte,-10.18,-48.33
