marca,modelo,categoria,conector,bateria_kwh,autonomia_km,ofertas,preco_min_brl,preco_medio_brl,preco_mediano_brl,preco_max_brl,ano_min,ano_max,preco_ref_usd,preco_ref_usd_em_brl,indice_km_por_mil_brl
byd,dolphin mini,BEV,CCS2,38.0,380,198,70600.0,122268.21,119990.0,888888.0,2024,2027,,,3.11
byd,dolphin,BEV,CCS2,44.9,427,139,78900.0,136692.93,134900.0,184890.0,2024,2027,,,3.12
geely,ex2,BEV,CCS2,50.0,350,63,99001.0,140243.32,140990.0,149900.0,2026,2027,,,2.5
byd,seal,BEV,CCS2,82.5,570,51,135000.0,228387.22,221890.0,305000.0,2024,2027,,,2.5
gwm,ora 03,BEV,CCS2,48.0,320,48,114890.0,142456.25,145445.0,179700.0,2024,2027,,,2.25
byd,yuan pro,BEV,CCS2,60.5,480,21,153990.0,173371.86,169990.0,199900.0,2025,2027,,,2.77
byd,dolphin plus,BEV,CCS2,44.9,427,18,82700.0,140106.78,147895.0,164900.0,2024,2025,,,3.05
volvo,ex30,BEV,CCS2,69.0,480,16,179900.0,206042.5,204900.0,259000.0,2024,2024,44900.0,229259.4,2.33
volvo,xc40 recharge,BEV,CCS2,78.0,460,14,174900.0,193797.86,189945.0,225000.0,2022,2024,53795.0,274677.27,2.37
audi,e-tron,BEV,CCS2,95.0,440,12,242000.0,488804.17,569945.0,690000.0,2020,2025,74400.0,379886.4,0.9
chevrolet,captiva ev,BEV,CCS2,50.0,350,12,174900.0,198374.08,199975.0,219790.0,2026,2026,,,1.76
byd,yuan plus,BEV,CCS2,60.5,480,10,156900.0,198823.2,192671.0,269990.0,2024,2026,,,2.41
porsche,taycan,BEV,CCS2,93.4,503,10,405000.0,584190.0,549500.0,949000.0,2021,2026,99400.0,507536.4,0.86
byd,tang,BEV,CCS2,86.4,400,9,229800.0,251522.78,249790.0,299970.0,2023,2023,,,1.59
chevrolet,spark euv,BEV,CCS2,26.0,200,9,135900.0,142393.33,142900.0,152900.0,2026,2026,,,1.4
gac,aion ut,BEV,CCS2,50.0,350,9,139900.0,150838.89,146990.0,169990.0,2026,2027,,,2.32
mini,cooper se,BEV,CCS2,54.2,400,9,119000.0,198179.89,179899.0,359990.0,2022,2026,30900.0,157775.4,2.02
bmw,ix,BEV,CCS2,111.5,600,8,299900.0,418800.0,376400.0,649900.0,2022,2024,87250.0,445498.5,1.43
nissan,leaf,BEV,CHAdeMO,40.0,270,8,79900.0,102147.5,102445.0,119700.0,2021,2023,28140.0,143682.84,2.64
gwm,haval h6 phev flex,PHEV,CCS2,34.0,170,7,182900.0,223390.71,205990.0,290000.0,2024,2027,,,0.76
zeekr,x,BEV,CCS2,100.0,580,7,229490.0,241995.71,245900.0,259900.0,2025,2025,,,2.4
ford,mustang mach-e,BEV,CCS2,91.0,490,6,289000.0,300748.33,299945.0,315800.0,2023,2023,39995.0,204214.47,1.63
geely,ex5,BEV,CCS2,50.0,350,6,199900.0,218581.67,220400.0,235900.0,2026,2026,,,1.6
jac,e-js1,BEV,GB/T,30.2,300,6,73900.0,88066.67,79900.0,114900.0,2023,2026,,,3.41
volvo,c40 recharge,BEV,CCS2,50.0,350,6,189900.0,210263.33,201945.0,254900.0,2022,2023,,,1.66
zeekr,001,BEV,CCS2,100.0,580,6,388890.0,402911.17,394395.0,429897.0,2025,2025,,,1.44
bmw,i3,BEV,CCS2,50.0,350,5,98000.0,141520.0,149900.0,169900.0,2015,2022,,,2.47
byd,song plus dm-i,PHEV,CCS2,18.3,110,5,172900.0,204118.0,185900.0,249990.0,2024,2027,,,0.54
chevrolet,equinox ev,BEV,CCS2,50.0,350,5,269900.0,316176.0,279990.0,453190.0,2024,2024,,,1.11
denza,b5,BEV,CCS2,50.0,350,5,429900.0,457738.0,469000.0,469990.0,2027,2027,,,0.76
leapmotor,c10,BEV,CCS2,50.0,350,5,192900.0,203134.0,202990.0,214990.0,2026,2026,,,1.72
leapmotor,b10,BEV,CCS2,50.0,350,5,182900.0,184972.0,182990.0,192990.0,2026,2026,,,1.89
omoda,e5,BEV,CCS2,61.0,430,5,169900.0,179335.6,179990.0,184888.0,2025,2027,,,2.4
peugeot,e-2008,BEV,CCS2,50.0,350,5,114900.0,135278.0,144800.0,145900.0,2023,2026,,,2.59
toyota,rav4 prime,PHEV,Type 2,18.1,68,5,149800.0,287112.0,317190.0,349290.0,2019,2027,44265.0,226017.09,0.24
byd,song pro dm-i plug-in hybrid,PHEV,CCS2,18.3,105,4,164000.0,185470.0,188945.0,199990.0,2025,2027,,,0.57
byd,king dm-i,PHEV,CCS2,18.3,115,4,138900.0,154195.0,153445.0,170990.0,2025,2027,,,0.75
byd,song pro dm-i flex,PHEV,CCS2,18.3,105,4,149000.0,179697.5,184900.0,199990.0,2026,2027,,,0.58
byd,sealion 7,BEV,CCS2,82.5,570,4,339990.0,347490.0,339990.0,369990.0,2027,2027,,,1.64
byd,song plus,BEV,CCS2,50.0,350,4,172900.0,184900.0,185900.0,194900.0,2024,2025,,,1.89
chery,eq1,BEV,CCS2,40.0,350,4,79000.0,82870.0,82990.0,86500.0,2023,2023,,,4.22
gwm,haval h6 plug-in hybrid,HEV,N/A,1.8,0,4,194900.0,238650.0,230400.0,298900.0,2024,2026,,,
mg motor,mg4,BEV,CCS2,50.0,350,4,154990.0,162192.5,162440.0,168900.0,2027,2027,,,2.16
mini,cooper elétrico,BEV,CCS2,50.0,350,4,134900.0,174947.5,144995.0,274900.0,2022,2025,,,2.0
bmw,ix1,BEV,CCS2,111.5,600,3,309900.0,355950.0,374000.0,383950.0,2024,2026,87250.0,445498.5,1.69
chevrolet,blazer ev,BEV,CCS2,50.0,350,3,329900.0,340377.67,339000.0,352233.0,2024,2024,,,1.03
fiat,500e,BEV,CCS2,42.0,320,3,135899.0,135899.67,135900.0,135900.0,2022,2022,34095.0,174089.07,2.35
jaecoo,7 shs-p,BEV,CCS2,50.0,350,3,195990.0,208593.33,209990.0,219800.0,2026,2026,,,1.68
renault,megane e-tech electric,BEV,CCS2,60.0,450,3,169900.0,211263.33,173900.0,289990.0,2024,2026,,,2.13
zeekr,7x,BEV,CCS2,100.0,580,3,439890.0,449260.0,439890.0,468000.0,2026,2027,,,1.29
bmw,ix2,BEV,CCS2,111.5,600,2,355900.0,430945.0,430945.0,505990.0,2025,2026,87250.0,445498.5,1.39
bmw,i4 m50,BEV,CCS2,83.9,590,2,460900.0,568445.0,568445.0,675990.0,2024,2026,57900.0,295637.4,1.04
bmw,i4 edrive35,BEV,CCS2,83.9,590,2,320877.0,451913.5,451913.5,582950.0,2024,2026,57900.0,295637.4,1.31
byd,song plus dm-i plug-in hybrid,PHEV,CCS2,18.3,110,2,242900.0,242945.0,242945.0,242990.0,2027,2027,,,0.45
byd,dolphin special edition,BEV,CCS2,44.9,427,2,169800.0,171850.0,171850.0,173900.0,2027,2027,,,2.48
byd,t3,BEV,CCS2,50.0,350,2,339990.0,339990.0,339990.0,339990.0,2027,2027,,,1.03
gac,hyptec ht,BEV,CCS2,50.0,350,2,314990.0,321890.0,321890.0,328790.0,2026,2026,,,1.09
gac,aion v,BEV,CCS2,50.0,350,2,219890.0,219940.0,219940.0,219990.0,2027,2027,,,1.59
jac,e-js4,BEV,CCS2,50.0,350,2,81500.0,97200.0,97200.0,112900.0,2023,2024,,,3.6
jaguar,i-pace,BEV,CCS2,50.0,350,2,199900.0,199950.0,199950.0,200000.0,2020,2020,,,1.75
land rover,range rover velar plug-in hybrid,PHEV,Type 2,18.0,100,2,479900.0,479900.0,479900.0,479900.0,2023,2025,,,0.21
mercedes,eqs amg 53 4matic+,BEV,CCS2,50.0,350,2,799000.0,844450.0,844450.0,889900.0,2022,2023,,,0.41
mercedes,eqb 250,BEV,CCS2,50.0,350,2,339950.0,339950.0,339950.0,339950.0,2023,2023,,,1.03
mini,countryman se all4,BEV,CCS2,50.0,350,2,289990.0,294990.0,294990.0,299990.0,2025,2025,,,1.19
renault,kwid e-tech electric,BEV,CCS2,26.8,185,2,75990.0,80945.0,80945.0,85900.0,2024,2024,,,2.29
tesla,model y,BEV,CCS2,75.0,533,2,229000.0,264350.0,264350.0,299700.0,2021,2021,44990.0,229718.94,2.02
tesla,model 3,BEV,CCS2,60.0,513,2,249900.0,273450.0,273450.0,297000.0,2018,2019,38990.0,199082.94,1.88
toyota,bz4x,BEV,CCS2,50.0,350,2,299900.0,361160.0,361160.0,422420.0,2025,2026,,,0.97
volvo,ec40,BEV,CCS2,78.0,500,2,189900.0,262450.0,262450.0,335000.0,2024,2026,,,1.91
volvo,ex40,BEV,CCS2,50.0,350,2,209900.0,226850.0,226850.0,243800.0,2023,2024,,,1.54
audi,q4 e-tron,BEV,CCS2,50.0,350,1,249900.0,249900.0,249900.0,249900.0,2022,2022,,,1.4
audi,q6 e-tron,BEV,CCS2,50.0,350,1,494800.0,494800.0,494800.0,494800.0,2025,2025,,,0.71
audi,e-tron gt,BEV,CCS2,95.0,440,1,389900.0,389900.0,389900.0,389900.0,2022,2022,74400.0,379886.4,1.13
audi,sq8 e-tron,BEV,CCS2,50.0,350,1,548000.0,548000.0,548000.0,548000.0,2024,2024,,,0.64
audi,a6 sportback e-tron,BEV,CCS2,50.0,350,1,259900.0,259900.0,259900.0,259900.0,2021,2021,,,1.35
audi,e-tron sportback,BEV,CCS2,95.0,440,1,339990.0,339990.0,339990.0,339990.0,2021,2021,74400.0,379886.4,1.29
audi,q8 e-tron,BEV,CCS2,114.0,505,1,429000.0,429000.0,429000.0,429000.0,2024,2024,74400.0,379886.4,1.18
bmw,i5 m60,BEV,CCS2,50.0,350,1,795990.0,795990.0,795990.0,795990.0,2026,2026,,,0.44
bmw,i7,BEV,CCS2,50.0,350,1,1373950.0,1373950.0,1373950.0,1373950.0,2026,2026,,,0.25
bmw,ix edrive20,BEV,CCS2,111.5,600,1,299990.0,299990.0,299990.0,299990.0,2025,2025,87250.0,445498.5,2.0
byd,atto 8,BEV,CCS2,60.5,480,1,365990.0,365990.0,365990.0,365990.0,2027,2027,,,1.31
byd,han,BEV,CCS2,85.4,550,1,349790.0,349790.0,349790.0,349790.0,2025,2025,,,1.57
byd,king,PHEV,CCS2,18.3,115,1,110000.0,110000.0,110000.0,110000.0,2025,2025,,,1.05
byd,e2,BEV,CCS2,50.0,350,1,163790.0,163790.0,163790.0,163790.0,2023,2023,,,2.14
chery,icar,BEV,CCS2,40.0,350,1,10900.0,10900.0,10900.0,10900.0,2023,2023,,,32.11
chevrolet,bolt euv,BEV,CCS2,65.0,416,1,145000.0,145000.0,145000.0,145000.0,2023,2023,27495.0,140389.47,2.87
chevrolet,bolt ev,BEV,CCS2,65.0,416,1,149900.0,149900.0,149900.0,149900.0,2022,2022,27495.0,140389.47,2.78
chrysler,pacifica plug-in hybrid,PHEV,Type 2,18.0,100,1,359800.0,359800.0,359800.0,359800.0,2018,2018,,,0.28
gac aion,hyptec ht,BEV,CCS2,50.0,350,1,328800.0,328800.0,328800.0,328800.0,2026,2026,,,1.06
gmc,hummer ev suv,BEV,CCS2,50.0,350,1,1899990.0,1899990.0,1899990.0,1899990.0,2025,2025,,,0.18
gwm,tank 300 phev flex,PHEV,Type 2,18.0,100,1,292900.0,292900.0,292900.0,292900.0,2026,2026,,,0.34
honda,clarity plug-in hybrid,PHEV,Type 2,18.0,100,1,231900.0,231900.0,231900.0,231900.0,2023,2023,,,0.43
hyundai,tucson plug-in hybrid,PHEV,Type 2,18.0,100,1,189990.0,189990.0,189990.0,189990.0,2017,2017,,,0.53
kia,niro ev,BEV,CCS2,50.0,350,1,199900.0,199900.0,199900.0,199900.0,2024,2024,,,1.75
land rover,range rover sport plug-in hybrid,PHEV,Type 2,18.0,100,1,1099900.0,1099900.0,1099900.0,1099900.0,2024,2024,,,0.09
mercedes,eqe 300,BEV,CCS2,90.6,590,1,414950.0,414950.0,414950.0,414950.0,2023,2023,74900.0,382439.4,1.42
mercedes,eqc400,BEV,CCS2,50.0,350,1,335000.0,335000.0,335000.0,335000.0,2026,2026,,,1.04
mg motor,mg4 ev,BEV,CCS2,50.0,350,1,171990.0,171990.0,171990.0,171990.0,2027,2027,,,2.04
